store_nbr,item_nbr,date,unit_sales,year,month,day,day_of_week
24,215352,2013-01-02,92.0,2013,1,2,2
24,215352,2013-01-03,94.0,2013,1,3,3
24,215352,2013-01-04,6.0,2013,1,4,4
24,215352,2013-01-05,113.0,2013,1,5,5
24,215352,2013-01-06,188.0,2013,1,6,6
24,215352,2013-01-07,62.0,2013,1,7,0
24,215352,2013-01-08,74.0,2013,1,8,1
24,215352,2013-01-09,122.0,2013,1,9,2
24,215352,2013-01-10,45.0,2013,1,10,3
24,215352,2013-01-11,51.0,2013,1,11,4
24,215352,2013-01-12,92.0,2013,1,12,5
24,215352,2013-01-13,106.0,2013,1,13,6
24,215352,2013-01-14,59.0,2013,1,14,0
24,215352,2013-01-15,76.0,2013,1,15,1
24,215352,2013-01-16,60.0,2013,1,16,2
24,215352,2013-01-17,91.0,2013,1,17,3
24,215352,2013-01-18,70.0,2013,1,18,4
24,215352,2013-01-19,97.0,2013,1,19,5
24,215352,2013-01-20,75.0,2013,1,20,6
24,215352,2013-01-21,66.0,2013,1,21,0
24,215352,2013-01-22,67.0,2013,1,22,1
24,215352,2013-01-23,92.0,2013,1,23,2
24,215352,2013-01-24,69.0,2013,1,24,3
24,215352,2013-01-25,94.0,2013,1,25,4
24,215352,2013-01-26,73.0,2013,1,26,5
24,215352,2013-01-27,67.0,2013,1,27,6
24,215352,2013-01-28,37.0,2013,1,28,0
24,215352,2013-01-29,59.0,2013,1,29,1
24,215352,2013-01-30,46.0,2013,1,30,2
24,215352,2013-01-31,50.0,2013,1,31,3
24,215352,2013-02-01,83.0,2013,2,1,4
24,215352,2013-02-02,67.0,2013,2,2,5
24,215352,2013-02-03,75.0,2013,2,3,6
24,215352,2013-02-04,65.0,2013,2,4,0
24,215352,2013-02-05,73.0,2013,2,5,1
24,215352,2013-02-06,47.0,2013,2,6,2
24,215352,2013-02-07,38.0,2013,2,7,3
24,215352,2013-02-08,68.0,2013,2,8,4
24,215352,2013-02-09,79.0,2013,2,9,5
24,215352,2013-02-10,48.0,2013,2,10,6
24,215352,2013-02-11,50.0,2013,2,11,0
24,215352,2013-02-12,48.0,2013,2,12,1
24,215352,2013-02-13,61.0,2013,2,13,2
24,215352,2013-02-14,38.0,2013,2,14,3
24,215352,2013-02-15,80.0,2013,2,15,4
24,215352,2013-02-16,56.0,2013,2,16,5
24,215352,2013-02-17,49.0,2013,2,17,6
24,215352,2013-02-18,84.0,2013,2,18,0
24,215352,2013-02-19,60.0,2013,2,19,1
24,215352,2013-02-20,83.0,2013,2,20,2
24,215352,2013-02-21,45.0,2013,2,21,3
24,215352,2013-02-22,52.0,2013,2,22,4
24,215352,2013-02-23,43.0,2013,2,23,5
24,215352,2013-02-24,101.0,2013,2,24,6
24,215352,2013-02-25,58.0,2013,2,25,0
24,215352,2013-02-26,61.0,2013,2,26,1
24,215352,2013-02-27,52.0,2013,2,27,2
24,215352,2013-02-28,36.0,2013,2,28,3
24,215352,2013-03-01,79.0,2013,3,1,4
24,215352,2013-03-02,93.0,2013,3,2,5
24,215352,2013-03-03,75.0,2013,3,3,6
24,215352,2013-03-04,73.0,2013,3,4,0
24,215352,2013-03-05,50.0,2013,3,5,1
